"SAMPLE_NUMBER","LOGIN_DATE","LOGIN_DATE","REPORTABLE","ANALYSIS","REPORTED_NAME","REPORTED_UNITS","ENTRY","REPLICATE_COUNT","PRODUCT","CUSTOMER","IN_SPEC","PRODUCT_GRADE","SAMPLE_NAME","NAME","SAMPLING_POINT"
"6537038","29/08/2014 11:33:52 AM","29/08/2014 11:33:52 AM","T","IODI010493","Iodine","UG_P_100G","135","1","QC","","T","SRM","SRM","IODI01-14-0101","IRM001A"
"6542038","01/09/2014 06:29:09 AM","01/09/2014 06:29:09 AM","T","IODI010493","Iodine","UG_P_100G","152","1","QC","","F","SRM","SRM","IODI01-14-0102","IRM001A"
"6557437","04/09/2014 08:00:01 PM","04/09/2014 08:00:01 PM","T","IODI010493","Iodine","UG_P_100G","106","1","QC","","T","SRM","SRM","IODI01-14-0103","IRM001A"
"6558392","05/09/2014 09:46:57 AM","05/09/2014 09:46:57 AM","T","IODI010493","Iodine","UG_P_100G","119","1","QC","","T","SRM","SRM","IODI01-14-0104","IRM001A"
"6564572","08/09/2014 07:26:15 AM","08/09/2014 07:26:15 AM","T","IODI010493","Iodine","UG_P_100G","109","1","QC","","T","SRM","SRM","IODI01-14-0105","IRM001A"
"6570547","09/09/2014 02:23:49 PM","09/09/2014 02:23:49 PM","T","IODI010493","Iodine","UG_P_100G","137","1","QC","","T","SRM","SRM","IODI01-14-0106","IRM001A"
"6577191","11/09/2014 11:53:15 AM","11/09/2014 11:53:15 AM","T","IODI010493","Iodine","UG_P_100G","133","1","QC","","T","SRM","SRM","IODI01-14-0107","IRM001A"
"6589420","15/09/2014 01:54:14 PM","15/09/2014 01:54:14 PM","T","IODI010493","Iodine","UG_P_100G","124","1","QC","","T","SRM","SRM","IODI01-14-0108","IRM001A"
"6589858","15/09/2014 02:56:13 PM","15/09/2014 02:56:13 PM","T","IODI010493","Iodine","UG_P_100G","109","1","QC","","T","SRM","SRM","IODI01-14-0109","IRM001A"
"6602886","19/09/2014 06:42:39 AM","19/09/2014 06:42:39 AM","T","IODI010493","Iodine","UG_P_100G","135","1","QC","","T","SRM","SRM","IODI01-14-0110","IRM001A"
"6611526","22/09/2014 11:31:47 AM","22/09/2014 11:31:47 AM","T","IODI010493","Iodine","UG_P_100G","120","1","QC","","T","SRM","SRM","IODI01-14-0111","IRM001A"
"6618642","24/09/2014 10:30:05 AM","24/09/2014 10:30:05 AM","T","IODI010493","Iodine","UG_P_100G","121","1","QC","","T","SRM","SRM","IODI01-14-0112","IRM001A"
"6627931","26/09/2014 11:15:09 AM","26/09/2014 11:15:09 AM","T","IODI010493","Iodine","UG_P_100G","127","1","QC","","T","SRM","SRM","IODI01-14-0113","IRM001A"
"6632201","27/09/2014 11:52:25 AM","27/09/2014 11:52:25 AM","T","IODI010493","Iodine","UG_P_100G","125","1","QC","","T","SRM","SRM","IODI01-14-0114","IRM001A"
"6635157","29/09/2014 09:00:28 AM","29/09/2014 09:00:28 AM","T","IODI010493","Iodine","UG_P_100G","112","1","QC","","T","SRM","SRM","IODI01-14-0116","IRM001A"
"6636777","29/09/2014 02:51:22 PM","29/09/2014 02:51:22 PM","T","IODI010493","Iodine","UG_P_100G","129","1","QC","","T","SRM","SRM","IODI01-14-0117","IRM001A"
"6641943","01/10/2014 08:04:02 AM","01/10/2014 08:04:02 AM","T","IODI010493","Iodine","UG_P_100G","116","1","QC","","T","SRM","SRM","IODI01-14-0118","IRM001A"
"6646208","02/10/2014 07:20:23 AM","02/10/2014 07:20:23 AM","T","IODI010493","Iodine","UG_P_100G","119","1","QC","","T","SRM","SRM","IODI01-14-0119","IRM001A"
"6651838","03/10/2014 10:55:39 AM","03/10/2014 10:55:39 AM","T","IODI010493","Iodine","UG_P_100G","139","1","QC","","T","SRM","SRM","IODI01-14-0120","IRM001A"
"6657616","06/10/2014 06:28:22 AM","06/10/2014 06:28:22 AM","T","IODI010493","Iodine","UG_P_100G","125","1","QC","","T","SRM","SRM","IODI01-14-0121","IRM001A"
"6661133","07/10/2014 08:51:27 AM","07/10/2014 08:51:27 AM","T","IODI010493","Iodine","UG_P_100G","117","1","QC","","T","SRM","SRM","IODI01-14-0122","IRM001A"
"6665322","08/10/2014 09:44:32 AM","08/10/2014 09:44:32 AM","T","IODI010493","Iodine","UG_P_100G","106","1","QC","","T","SRM","SRM","IODI01-14-0124","IRM001A"
"6668914","09/10/2014 07:41:22 AM","09/10/2014 07:41:22 AM","T","IODI010493","Iodine","UG_P_100G","136","1","QC","","T","SRM","SRM","IODI01-14-0125","IRM001A"
"6679371","11/10/2014 12:23:35 PM","11/10/2014 12:23:35 PM","T","IODI010493","Iodine","UG_P_100G","115","1","QC","","T","SRM","SRM","IODI01-14-0126","IRM001A"
"6681795","13/10/2014 09:24:59 AM","13/10/2014 09:24:59 AM","T","IODI010493","Iodine","UG_P_100G","126","1","QC","","T","SRM","SRM","IODI01-14-0127","IRM001A"
"6685938","14/10/2014 10:33:22 AM","14/10/2014 10:33:22 AM","T","IODI010493","Iodine","UG_P_100G","114","1","QC","","T","SRM","SRM","IODI01-14-0128","IRM001A"
"6693423","16/10/2014 06:29:22 AM","16/10/2014 06:29:22 AM","T","IODI010493","Iodine","UG_P_100G","144","1","QC","","F","SRM","SRM","IODI01-14-0129","IRM001A"
"6703304","18/10/2014 01:41:53 PM","18/10/2014 01:41:53 PM","T","IODI010493","Iodine","UG_P_100G","131","1","QC","","T","SRM","SRM","IODI01-14-0130","IRM001A"
"6707556","20/10/2014 11:02:52 AM","20/10/2014 11:02:52 AM","T","IODI010493","Iodine","UG_P_100G","131","1","QC","","T","SRM","SRM","IODI01-14-0131","IRM001A"
"6712389","21/10/2014 12:33:39 PM","21/10/2014 12:33:39 PM","T","IODI010493","Iodine","UG_P_100G","138","1","QC","","T","SRM","SRM","IODI01-14-0132","IRM001A"
"6715313","22/10/2014 10:30:19 AM","22/10/2014 10:30:19 AM","T","IODI010493","Iodine","UG_P_100G","129","1","QC","","T","SRM","SRM","IODI01-14-0133","IRM001A"
"6724580","24/10/2014 09:59:44 AM","24/10/2014 09:59:44 AM","T","IODI010493","Iodine","UG_P_100G","135","1","QC","","T","SRM","SRM","IODI01-14-0134","IRM001A"
"6731739","27/10/2014 07:18:02 AM","27/10/2014 07:18:02 AM","T","IODI010493","Iodine","UG_P_100G","141","1","QC","","T","SRM","SRM","IODI01-14-0135","IRM001A"
"6737752","28/10/2014 01:21:32 PM","28/10/2014 01:21:32 PM","T","IODI010493","Iodine","UG_P_100G","121","1","QC","","T","SRM","SRM","IODI01-14-0136","IRM001A"
"6741532","29/10/2014 11:16:01 AM","29/10/2014 11:16:01 AM","T","IODI010493","Iodine","UG_P_100G","117","1","QC","","T","SRM","SRM","IODI01-14-0137","IRM001A"
"6746111","30/10/2014 11:25:54 AM","30/10/2014 11:25:54 AM","T","IODI010493","Iodine","UG_P_100G","133","1","QC","","T","SRM","SRM","IODI01-14-0138","IRM001A"
"6750601","31/10/2014 11:29:56 AM","31/10/2014 11:29:56 AM","T","IODI010493","Iodine","UG_P_100G","141","1","QC","","T","SRM","SRM","IODI01-14-0139","IRM001A"
"6756435","03/11/2014 09:35:23 AM","03/11/2014 09:35:23 AM","T","IODI010493","Iodine","UG_P_100G","128","1","QC","","T","SRM","SRM","IODI01-14-0140","IRM001A"
"6763330","05/11/2014 10:39:00 AM","05/11/2014 10:39:00 AM","T","IODI010493","Iodine","UG_P_100G","127","1","QC","","T","SRM","SRM","IODI01-14-0141","IRM001A"
"6772316","07/11/2014 12:02:30 PM","07/11/2014 12:02:30 PM","T","IODI010493","Iodine","UG_P_100G","141","1","QC","","T","SRM","SRM","IODI01-14-0142","IRM001A"
"6773595","07/11/2014 03:26:23 PM","07/11/2014 03:26:23 PM","T","IODI010493","Iodine","UG_P_100G","126","1","QC","","T","SRM","SRM","IODI01-14-0143","IRM001A"
"6779363","10/11/2014 01:26:01 PM","10/11/2014 01:26:01 PM","T","IODI010493","Iodine","UG_P_100G","95","1","QC","","T","SRM","SRM","IODI01-14-0144","IRM001A"
"6782744","11/11/2014 11:00:49 AM","11/11/2014 11:00:49 AM","T","IODI010493","Iodine","UG_P_100G","127","1","QC","","T","SRM","SRM","IODI01-14-0145","IRM001A"
"6786842","12/11/2014 10:17:38 AM","12/11/2014 10:17:38 AM","T","IODI010493","Iodine","UG_P_100G","139","1","QC","","T","SRM","SRM","IODI01-14-0146","IRM001A"
"6816985","20/11/2014 11:58:45 AM","20/11/2014 11:58:45 AM","T","IODI010493","Iodine","UG_P_100G","120","1","QC","","T","SRM","SRM","IODI01-14-0148","IRM001A"
"6829668","24/11/2014 02:57:02 PM","24/11/2014 02:57:02 PM","T","IODI010493","Iodine","UG_P_100G","138","1","QC","","T","SRM","SRM","IODI01-14-0149","IRM001A"
"6837335","26/11/2014 11:52:37 AM","26/11/2014 11:52:37 AM","T","IODI010493","Iodine","UG_P_100G","114","1","QC","","T","SRM","SRM","IODI01-14-0150","IRM001A"
"6841442","27/11/2014 10:30:28 AM","27/11/2014 10:30:28 AM","T","IODI010493","Iodine","UG_P_100G","111","1","QC","","T","SRM","SRM","IODI01-14-0151","IRM001A"
"6854304","01/12/2014 01:31:21 PM","01/12/2014 01:31:21 PM","T","IODI010493","Iodine","UG_P_100G","131","1","QC","","T","SRM","SRM","IODI01-14-0152","IRM001A"
"6856408","02/12/2014 06:43:38 AM","02/12/2014 06:43:38 AM","T","IODI010493","Iodine","UG_P_100G","135","1","QC","","T","SRM","SRM","IODI01-14-0153","IRM001A"
"6862108","03/12/2014 09:47:50 AM","03/12/2014 09:47:50 AM","T","IODI010493","Iodine","UG_P_100G","138","1","QC","","T","SRM","SRM","IODI01-14-0154","IRM001A"
"6871901","05/12/2014 11:33:07 AM","05/12/2014 11:33:07 AM","T","IODI010493","Iodine","UG_P_100G","126","1","QC","","T","SRM","SRM","IODI01-14-0155","IRM001A"
"6875606","06/12/2014 12:13:17 PM","06/12/2014 12:13:17 PM","T","IODI010493","Iodine","UG_P_100G","137","1","QC","","T","SRM","SRM","IODI01-14-0156","IRM001A"
"6878466","08/12/2014 08:03:23 AM","08/12/2014 08:03:23 AM","T","IODI010493","Iodine","UG_P_100G","131","1","QC","","T","SRM","SRM","IODI01-14-0157","IRM001A"
"6884072","09/12/2014 11:43:13 AM","09/12/2014 11:43:13 AM","T","IODI010493","Iodine","UG_P_100G","136","1","QC","","T","SRM","SRM","IODI01-14-0158","IRM001A"
"6888633","10/12/2014 12:15:40 PM","10/12/2014 12:15:40 PM","T","IODI010493","Iodine","UG_P_100G","135","1","QC","","T","SRM","SRM","IODI01-14-0159","IRM001A"
"6895472","12/12/2014 06:10:28 AM","12/12/2014 06:10:28 AM","T","IODI010493","Iodine","UG_P_100G","108","1","QC","","T","SRM","SRM","IODI01-14-0160","IRM001A"
